run_time,system,model,task_id,category,agent,success,score,escalated,local_score,latency_s,cloud_calls,cost_usd,data_kb,score_method
2026-07-22 23:29:34,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.869,True,0.222,0.48,1,0.000336,1.212,DeepEval GEval (0.869)
2026-07-22 23:29:34,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.59,0,0.0,0.0,automated (exec + function check)
2026-07-22 23:29:34,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.614,False,,0.68,0,0.0,0.0,DeepEval GEval (0.614)
2026-07-22 23:29:34,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.818,False,,0.48,0,0.0,0.0,DeepEval GEval (0.818)
2026-07-22 23:29:34,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.886,False,,4.74,1,0.004912,0.01,DeepEval GEval (0.886)
2026-07-22 23:39:43,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.836,True,0.389,3.46,1,0.000335,1.212,DeepEval GEval (0.836)
2026-07-22 23:39:43,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.58,0,0.0,0.0,automated (exec + function check)
2026-07-22 23:39:43,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.732,False,,0.83,0,0.0,0.0,DeepEval GEval (0.732)
2026-07-22 23:39:43,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.858,False,,0.58,0,0.0,0.0,DeepEval GEval (0.858)
2026-07-22 23:39:43,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.878,False,,5.38,1,0.00478,0.01,DeepEval GEval (0.878)
2026-07-23 00:23:27,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.884,True,0.382,3.2,1,0.00036,1.212,DeepEval GEval (0.884)
2026-07-23 00:23:27,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.6,0,0.0,0.0,automated (exec + function check)
2026-07-23 00:23:27,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.651,False,,0.64,0,0.0,0.0,DeepEval GEval (0.651)
2026-07-23 00:23:27,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.838,False,,0.61,0,0.0,0.0,DeepEval GEval (0.838)
2026-07-23 00:23:27,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.864,False,,5.32,1,0.004879,0.01,DeepEval GEval (0.864)
2026-07-25 21:13:27,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.872,True,0.396,3.08,1,0.000358,1.212,DeepEval GEval (0.872)
2026-07-25 21:13:27,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.65,0,0.0,0.0,automated (exec + function check)
2026-07-25 21:13:27,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.569,False,,1.32,0,0.0,0.0,DeepEval GEval (0.569)
2026-07-25 21:13:27,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.803,False,,0.5,0,0.0,0.0,DeepEval GEval (0.803)
2026-07-25 21:13:27,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.847,False,,5.82,1,0.004889,0.01,DeepEval GEval (0.847)
2026-07-25 21:29:47,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.859,True,0.198,3.04,1,0.00036,1.212,DeepEval GEval (0.859)
2026-07-25 21:29:47,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.64,0,0.0,0.0,automated (exec + function check)
2026-07-25 21:29:47,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.673,False,,0.79,0,0.0,0.0,DeepEval GEval (0.673)
2026-07-25 21:29:47,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.794,False,,0.53,0,0.0,0.0,DeepEval GEval (0.794)
2026-07-25 21:29:47,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.876,False,,4.79,1,0.004785,0.01,DeepEval GEval (0.876)
2026-07-25 22:16:20,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.548,False,,3.25,0,0.0,0.0,DeepEval GEval (0.548)
2026-07-25 22:16:20,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.69,0,0.0,0.0,automated (exec + function check)
2026-07-25 22:16:20,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.611,False,,0.53,0,0.0,0.0,DeepEval GEval (0.611)
2026-07-25 22:16:20,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.794,False,,0.52,0,0.0,0.0,DeepEval GEval (0.794)
2026-07-25 22:16:20,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.838,False,,5.4,1,0.004829,0.01,DeepEval GEval (0.838)
2026-07-25 22:46:51,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.867,True,0.448,3.15,1,0.00036,1.212,DeepEval GEval (0.867)
2026-07-25 22:46:51,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],False,,True,,0.67,1,0.000192,0.073,automated (exec failed: unterminated string literal (detected at)
2026-07-25 22:46:51,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.602,False,,0.9,0,0.0,0.0,DeepEval GEval (0.602)
2026-07-25 22:46:51,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.89,False,,0.53,0,0.0,0.0,DeepEval GEval (0.89)
2026-07-25 22:46:51,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.856,False,,5.01,1,0.004884,0.01,DeepEval GEval (0.856)
2026-07-25 22:48:32,edge-cloud-swarm,qwen2.5:0.5b,A1,A-File/Log,file_agent [LOCAL],True,0.868,True,0.387,0.64,1,0.00036,1.212,DeepEval GEval (0.868)
2026-07-25 22:48:32,edge-cloud-swarm,qwen2.5:0.5b,B1,B-Code,code_agent [LOCAL],True,,False,,0.49,0,0.0,0.0,automated (exec + function check)
2026-07-25 22:48:32,edge-cloud-swarm,qwen2.5:0.5b,C1,C-Planning,planning_agent [LOCAL],True,0.823,True,0.452,0.69,1,0.000227,0.088,DeepEval GEval (0.823)
2026-07-25 22:48:32,edge-cloud-swarm,qwen2.5:0.5b,D1,D-Document,document_agent [LOCAL],True,0.806,False,,0.47,0,0.0,0.0,DeepEval GEval (0.806)
2026-07-25 22:48:32,edge-cloud-swarm,qwen2.5:0.5b,E1,E-Multimodal,multimodal_agent [CLOUD],True,0.877,False,,4.54,1,0.004835,0.01,DeepEval GEval (0.877)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,A1,A - File/Log Analysis,file_agent,True,,False,,4.35,0,0.0,0.0,heuristic (keyword match)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,B1,B - Code Generation,code_agent,True,,False,,1.1,0,0.0,0.0,automated (exec + function check)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,C1,C - Planning,planning_agent,True,,False,,1.63,0,0.0,0.0,heuristic (keyword match)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,D1,D - Document Processing,document_agent,True,,False,,0.73,0,0.0,0.0,heuristic (keyword match)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,E1,E - Multimodal,multimodal_agent,True,,False,,1.78,1,0.004906,0.025,heuristic (keyword match)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,F1,F - Ambiguous,file_agent,True,,False,,1.11,0,0.0,0.0,heuristic (non-empty)
2026-07-26 15:19:55,edge-cloud-swarm,qwen2.5:0.5b,G1,G - Complex Multi-Step,file_agent,,,False,,0.0,0,0.0,0.0,
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,A1,A - File/Log Analysis,file_agent,True,0.782,True,0.49,0.63,1,0.000228,1.212,DeepEval GEval (0.782)
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,B1,B - Code Generation,code_agent,True,,False,,1.07,0,0.0,0.0,automated (exec + function check)
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,C1,C - Planning,planning_agent,True,0.744,True,0.398,1.05,1,0.000227,0.088,DeepEval GEval (0.744)
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,D1,D - Document Processing,document_agent,True,0.832,False,,0.7,0,0.0,0.0,DeepEval GEval (0.832)
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,E1,E - Multimodal,multimodal_agent,True,0.888,False,,1.27,1,0.004928,0.025,DeepEval GEval (0.888)
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,F1,F - Ambiguous,file_agent,True,0.612,False,,2.8,0,0.0,0.0,DeepEval GEval (0.612)
2026-07-26 15:25:21,edge-cloud-swarm,qwen2.5:0.5b,G1,G - Complex Multi-Step,file_agent,,,False,,0.0,0,0.0,0.0,
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,A1,A - File/Log Analysis,file_agent,True,0.754,True,0.424,4.02,1,0.000228,1.212,DeepEval GEval (0.754)
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,B1,B - Code Generation,code_agent,True,,False,,1.15,0,0.0,0.0,automated (exec + function check)
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,C1,C - Planning,planning_agent,True,0.595,False,,1.19,0,0.0,0.0,DeepEval GEval (0.595)
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,D1,D - Document Processing,document_agent,True,0.844,False,,0.95,0,0.0,0.0,DeepEval GEval (0.844)
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,E1,E - Multimodal,multimodal_agent,True,0.882,False,,1.33,1,0.004873,0.025,DeepEval GEval (0.882)
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,F1,F - Ambiguous,file_agent,True,0.692,False,,0.61,0,0.0,0.0,DeepEval GEval (0.692)
2026-07-26 15:53:01,edge-cloud-swarm,qwen2.5:0.5b,G1,G - Complex Multi-Step,file_agent,,,False,,0.0,0,0.0,0.0,
2026-07-26 15:57:23,edge-cloud-swarm,qwen2.5:0.5b,A1,A - File/Log Analysis,file_agent,True,0.553,False,,3.27,0,0.0,0.0,DeepEval GEval (0.553)
2026-07-26 15:57:23,edge-cloud-swarm,qwen2.5:0.5b,B1,B - Code Generation,code_agent,True,,False,,1.11,0,0.0,0.0,automated (exec + function check)
